Nachmittagssnack, Imbiss	o lanche
erster Stock	o primeiro andar
Glyzinie, Schmetterlingsblütler	a glicínia
künstlicher Gartenbrunnen	a fonte artificial
Schild	o letreiro
auf großem Fuß leben	viver à larga
weiß	branca
Fenster	a janela
Garten	o jardim
niedrig	baixo
Koch	o cozinheiro
aufbrechen	partir
Zwilling	o gémio
schlechte Laune	mau humor
unerträglich	insupeortável
Tier, Vieh	o bicho
Lärm	o barulho
verdammter Esel	raio do burro
vergessen	esquecer
ein für alle Mal	de uma vez por todas
Nachbarn	os vizinhos
Streiterei	a querela
sitzen	estar sentado
setzen	sentar
riechen	cheirar
hassen	detestar
laut	barulhento
Ding	a coisa
gehören	pertencer
Schade, dass	É pena que
