Kleid	o vestido
Stuhl	a cadeira
besetzen	ocupar
Krimi	o romance policial
spannend	excitante
Fall	o caso
Recht haben	ter razão
Rock	a saia
Farbe	a cor
Übersetzung	a tradução
Fehler	o erro
voller (voll von)	cheia + de
Test	o teste
bestehen	passar
Lage/ Situation	a situação
beneidenswert	invejável
Wetter	o clima
Lüge	a mentira
Problem	o problema
lösen	resolver
Formular	o formulário
ausfüllen	preencher
Ton	o tom
Chef	o chefe
eintreten	entrar
genau	exatamente
regnen	chover
beunruhigen	preocupar
beruhigen	calmar
Katastrophe	a catástrofe
helfen	ajudar
Lösung	a solução
meinen, sagen wollen	quer dizer
eng	apertado/-a
Schuh	o sapato
Aufzug	o elevador
Platz/Raum	o espaço
nur	apenas
