Stockwerk	o ander
Berliner Mauer	o Muro de Berlim
fallen	cair
für etwas sein	torcer por
doppelt	duplo/-a
Staatsangehörigkeit	a nacionalidade
bekommen	receber
ein Drittel	um terço
verdienen	ganhar
Liebe	o amar
der erste	o primeiro
(An)blick	a vista
Papst	o papa
nachfolgen auf	suceder a
die Dritte Welt	o Terceiro Mundo
Kinder	as crianças
schwanger sein im 6. Monat	estar grávida de seis meses
Monat	o mês
auf etw./jmd. warten	esperar por
Zuschauer	o espectador
der Himmel	o céu
im siebten Himmel sein	estar no sétimo céu
sieben Millionen	sete milhões
Einwanderer	o imigrante
Einwohner	o habitante
24 pro 1000 Einwohner	vinte e quatro por cada mil habitantes
geboren sein am	nasci a de
Dreißigjähriger Krieg	a Guerra dos Trinta Anos
Frankreich	a França
krank	doente
islamischen Glaubens	do fé islâmic
Komma(bei Zahlen)	a vírgula
steigen um	aumentar
60er Jahre	a década de 1960
Fünftagewoche	a semana de cinco dias
etwas einführen	introduzir
zum ersten Mal	pela primeira vez
