Sekretärin; Schreibtisch	a secretária
multifunktionell	multifuncional
etwas gerade machen	estar a fazer
aufräumen, in Ordnung bringen	pôr em ordem
E-Mail	o E-Mail
organisieren	organizar
Besprechung	a reunião
ans Telefon gehen	atender o telefone
Brief	a carta
den Sie mir diktiert haben	que me ditou
womit	em que
helfen	ajudar
den Tisch decken	pôr a mesa
die Brille aufsetzen	pôr os óculos
einen Brief zur Post bringen	pôr uma carta no correio
Schiff	o barco
Zug	o comboio
Flugzeug	o avião
Motorrad	a moto
Aufzug	o elevador
Hafen	o porto
Autobahn	a autoestrada
Mautstelle, Mautgebühr	a portagem
Reisebüro	a agência de viagens
mit Verspätung	com atraso
das Flugzeug verpassen	perder o avião
hin und zurück	de ida e volta
